Latitude (N),Longitude (W),lat_diff,long_diff
42.3581,71.0636,0,0
42.519,71,-0.160899999999998,0.063599999999994
42.5,71.11,-0.1419,-0.046400000000006
42.48,71.21,-0.121899999999997,-0.1464
42.425,71.25,-0.066899999999997,-0.186400000000006
42.346,71.26,0.012100000000004,-0.196400000000011
42.202,71.14,0.156100000000002,-0.076400000000007
42.202,71.07,0.156100000000002,-0.006399999999999
42.226,71.02,0.132100000000001,0.043599999999998
42.029,71.26,0.329099999999997,-0.196400000000011
42.267,71.56,0.091099999999997,-0.496400000000008
42.547,70.93,-0.188899999999997,0.133599999999987
41.955,71.03,0.403100000000002,0.033599999999993
41.957,70.69,0.4011,0.373599999999996
42.393,71.14,-0.0349,-0.076400000000007
42.257,71.09,0.101100000000002,-0.02640000000001
42.607,71.32,-0.248899999999999,-0.256399999999999
42.664,71.193,-0.305900000000001,-0.129400000000004
42.521,71.505,-0.1629,-0.441400000000002